Battery Rebate;FiT;Share PV Cantonal over Federal rebate;EC scenario;PV Rebate;Type;Domanda;Produzione PV;Autoconsumo
0.2;0.075;0.1;0;0.2;Bellinzona;422.228656;220.1554497;104.9319806
0.2;0.1;0.1;0;0.2;Bellinzona;421.4709213;231.5388764;108.1568524
0.2;0;0.2;0;0.2;Bellinzona;423.6618703;188.2570765;94.95266887
0.2;0.025;0.2;0;0.2;Bellinzona;423.2297329;199.6113463;98.96065846
0.2;0.05;0.2;0;0.2;Bellinzona;422.7012591;211.2745577;102.7870267
0.2;0.075;0.2;0;0.2;Bellinzona;422.1290845;222.978638;106.3152072
0.2;0.1;0.2;0;0.2;Bellinzona;421.4029084;234.5430798;109.5502925
0.2;0;0.3;0;0.2;Bellinzona;423.5926664;190.3049027;96.10012415
0.2;0.025;0.3;0;0.2;Bellinzona;423.1349153;201.979238;100.2297066
0.2;0.05;0.3;0;0.2;Bellinzona;422.6409803;213.9220034;104.131723
0.2;0.1;0.3;0;0.2;Bellinzona;421.24889;237.7186061;111.0344342
0.2;0.075;0.3;0;0.2;Bellinzona;422.0017241;225.9294286;107.7555531
0.2;0;0.4;0;0.2;Bellinzona;423.5130957;192.4613089;97.3073505
0.2;0.025;0.4;0;0.2;Bellinzona;423.0733277;204.4667776;101.5590354
0.2;0.05;0.4;0;0.2;Bellinzona;422.5285392;216.7602622;105.5873239
0.2;0.075;0.4;0;0.2;Bellinzona;421.8843744;229.0211311;109.259187
0.2;0.1;0.4;0;0.2;Bellinzona;421.1587134;241.0226073;112.5667662
0.2;0;0.5;0;0.2;Bellinzona;423.4152417;194.7457292;98.58740812
0.2;0.025;0.5;0;0.2;Bellinzona;422.9619378;207.0969746;102.9642235
0.2;0.05;0.5;0;0.2;Bellinzona;422.4199373;219.7157925;107.0901203
0.2;0.075;0.5;0;0.2;Bellinzona;421.7780112;232.2648947;110.8314345
0.2;0.1;0.5;0;0.2;Bellinzona;421.0285584;244.4520401;114.1482495
0.3;0;0;0;0.2;Bellinzona;423.7081685;184.5638347;94.05917521
0.3;0.025;0;0;0.2;Bellinzona;423.2709005;195.3248741;97.80447548
0.3;0.05;0;0;0.2;Bellinzona;422.8031532;206.3629319;101.3107497
0.3;0.075;0;0;0.2;Bellinzona;422.2215176;217.5537885;104.5691391
0.3;0.1;0;0;0.2;Bellinzona;421.5185103;228.6721833;107.532146
